hometown,country
"Mills River, N.C.",USA
"Las Cruces, N.M.",USA
"Peoria, Ariz.",USA
"Fletcher, N.C.",USA
"McHenry, Ill.",USA
"Blythewood, S.C.",USA
"Eagan, Minn.",USA
"Watertown, Minn.",USA
"Stoneville, N.C.",USA
"Minneapolis, Minn.",USA
"Dayton, Minn.",USA
"Aiken, SC",USA
"Coral Springs, FL",USA
"Sellersburg, IN",USA
"Louisville, KY",USA
"New Albany, IN",USA
"Benton, KY",USA
"Cincinnati, OH",USA
"Loogootee, IN",USA
"Troy, OH",USA
"Georgetown, KY",USA
"DeWitt, MI",USA
"Glen Ellyn, IL",USA
"Muncie, IN",USA
"Charlotte, N.C.",USA
"LaSalle, Ill.",USA
"Kenyon, Minn.",USA
"Wilson, N.C.",USA
"Wayzata, Minn.",USA
"Beaumont, CA",USA
"Dallas, TX",USA
"Richmond, TX",USA
"Houston, TX",USA
"Mount Vernon, WA",USA
"Murrieta, CA",USA
"Mendota, IL",USA
"Gaffney, S.C.",USA
"Harrisburg, N.C.",USA
"Simpsonville, S.C.",USA
"Excelsior, Minn.",USA
"Milton, Ga.",USA
"Lakeville, Minn.",USA
"Cary, N.C.",USA
"Waconia, Minn.",USA
"Fort Mill, S.C.",USA
"Anderson, S.C.",USA
"Westampton, N.J.",USA
"Columbia, S.C.",USA
"Hilton Head Island, S.C.",USA
"River Edge, N.J.",USA
"New York, N.Y.",USA
"Sioux Falls, S.D.",USA
"Woodbury, Minn.",USA
"Sioux Falls, S.D",USA
"Webster, NY",USA
"Glendale, NY",USA
"Allen, TX",USA
"West Nyack, NY",USA
"Winter Springs, FL",USA
"Phoenix, AZ",USA
"Atlanta, GA",USA
"Corpus Christi, TX",USA
"Highland Mills, NY",USA
"Long Beach, CA",USA
"Spring Hill, FL",USA
"Peoria, AZ",USA
"Queens, NY",USA
"Junction City, KS",USA
"St. Petersburg, FL",USA
"New York City, N.Y.",USA
"Miller, S.D.",USA
"Pickens, S.C.",USA
"Marriot, Md.",USA
"Hampton, VA",USA
"Philadelphia, PA",USA
NA,USA
"Kernersville, N.C.",USA
"Knightdale, N.C.",USA
"Hendersonville, N.C.",USA
"Saint Paul, Minn.",USA
"Poughkeepsie, N.Y.",USA
"Wantagh, N.Y.",USA
"Bronx, N.Y.",USA
"Lake Grove, N.Y.",USA
"Eastchester, N.Y.",USA
"Commack, N.Y.",USA
"Rochester, Minn.",USA
"Lakeland, FL",USA
"Cullowhee, N.C.",USA
"Spartanburg, S.C.",USA
"Little River, S.C.",USA
"Hutchinson, Minn.",USA
"Coeur d’Alene, Idaho",USA
"San Antonio, TX",USA
"Portland, OR",USA
"Pendleton, IN",USA
"Latrobe, PA",USA
"Murphy, NC",USA
"Lewisville, TX",USA
"Florence, KY",USA
"Morris, IL",USA
"Austin, TX",USA
"Shelby Township, MI",USA
"Huntington Beach, CA",USA
"Canby, OR",USA
"Indianapolis, IN",USA
"Ankeny, IA",USA
"Fort Myers, FL",USA
"Playa Del Rey, CA",USA
"Stanfield, N.C.",USA
"Commerce Township, MI",USA
"Montclair, CA",USA
"Vista, CA",USA
"Middleton, WI",USA
"Round Rock, TX",USA
"Highlands Ranch, CO",USA
"Portland, TX",USA
"Hope Mills, NC",USA
"Rocklin, CA",USA
"Monroe, MI",USA
"Downingtown, PA",USA
"Boston, NY",USA
"Allendale, NJ",USA
"Brooklyn, NY",USA
"Heath, Texas",USA
"Chapel Hill, N.C.",USA
"Apex, N.C.",USA
"Parsippany, N.J.",USA
"McKinney, Texas",USA
"Martinsburg, W.Va.",USA
"Stuart, FL.",USA
"Denver, N.C.",USA
"Orchard Park, N.Y.",USA
"Honolulu, HI",USA
"East Aurora, N.Y.",USA
"Raleigh, N.C.",USA
"Charleston, S.C.",USA
"Salisbury, N.C.",USA
"O'Fallon, Mo.",USA
"Baldwinsville, N.Y.",USA
"Macedon, N.Y.",USA
"DeWitt, Mich.",USA
"Maumee, OH",USA
"Trumbull,CT",USA
"Nocatee,FL",USA
"Pittsboro, NC",USA
"Greenwood, IN",USA
"Victor, N.Y.",USA
"Middletown, N.Y.",USA
"Arlington, VA",USA
"McKinney, Tex.",USA
"Arvada, Colo.",USA
"Summerfield, N.C.",USA
"Palm Desert, CA",USA
"Camarillo, CA",USA
"Yorkville, IL",USA
"Elkhorn, NE",USA
"Chippewa Falls, WI",USA
"Manteno, IL",USA
"Lapeer, MI",USA
"Lincoln, NE",USA
"Dike, IA",USA
"Sandusky, OH",USA
"Woodstock, IL",USA
"Nixa, MO",USA
"Watseka, IL",USA
"Jacksonville, IL",USA
"Macomb, IL",USA
"Bourbonnais, IL",USA
"Lemont, IL",USA
"Bonner Springs, KS",USA
"King of Prussia, Penn.",USA
"Jeffersonville, IN",USA
"Wichita, KS",USA
"High Point, N.C.",USA
"Huntersville, N.C.",USA
"Hollywood, FL",USA
"Mooresville, N.C.",USA
"Holly Springs, N.C.",USA
"Morganton, N.C.",USA
"Boone, N.C.",USA
"Brevard, N.C.",USA
"Grand Rapids, MN",USA
"Lake in the Hills, Ill.",USA
"Flora, Miss.",USA
"Selma, IN",USA
"Clarkston, MI",USA
"Loveland, OH",USA
"Bartlett, TN",USA
"Parker City, IN",USA
"Daytona Beach, FL",USA
"Tallahasee, FL",USA
"Hurdle Mills, N.C.",USA
"Niskayuna, N.Y.",USA
"Manlius, N.Y.",USA
"Smithtown, N.Y.",USA
"Merrick, N.Y.",USA
"Oxford, N.C.",USA
"Clifton, N.J.",USA
"Rockaway, N.J.",USA
"Washington, D.C.",USA
"Bakersfield, CA",USA
"Livermore, CA",USA
"Encinitas, CA",USA
"San Luis Obispo, CA",USA
"Roseville, CA",USA
"Medford, OR",USA
"Las Vegas, NV",USA
"San Diego, CA",USA
"Campbell, CA",USA
"Whitewater, WI",USA
"Oakland, CA",USA
"Redwood City, CA",USA
"Sacramento, CA",USA
"Auburn, CA",USA
"Menifee, CA",USA
"Lafayette, CA",USA
"Kahalu'u, HI",USA
"San Clemente, CA",USA
"LaGrange, Ind.",USA
"Clover, S.C.",USA
"Evans, GA.",USA
"Asheville, N.C.",USA
"Fayetteville, N.C.",USA
"Scott Depot, W.Va.",USA
"Easley, S.C.",USA
"Mount Pleasant, S.C.",USA
"Supply, N.C.",USA
"Golden Valley, Minn.",USA
"DeForest, Wis.",USA
"Wilmington, N.C.",USA
"Plymouth, Mich.",USA
"Mt. Pleasant, S.C.",USA
"Cranbury, N.J.",USA
"Burnt Hills, N.Y.",USA
"McLean, Va.",USA
"Hedgesville, W.Va.",USA
"Pauline, S.C.",USA
"Florence, S.C.",USA
"Ho-Ho-Kus, N.J.",USA
"Oregon, Ill.",USA
"Delmont, Penn.",USA
"Statesville, N.C.",USA
"Albuquerque, N.M.",USA
"Carson City, Nev.",USA
"Wilkesboro, N.C.",USA
"Hartland, Wis.",USA
"Goldsboro, N.C.",USA
"Lancaster, N.Y.",USA
"Coeur d'Alene, Idaho",USA
"Troy, ID",USA
"Aitkin, Minn.",USA
"St. Paul, Minn.",USA
"Matthews, N.C.",USA
"Greensboro, N.C.",USA
"Mantorville, Minn.",USA
"Winterville, N.C.",USA
"College Station, TX",USA
"Ridgewood, N.J.",USA
"Helotes, TX",USA
"West Orange, N.J.",USA
"Huntington, N.Y.",USA
"Ithaca, N.Y.",USA
"Buffalo, N.Y.",USA
"Rochester, N.Y.",USA
"Cold Spring, KY.",USA
"Lexington, S.C.",USA
"Monroe, N.C.",USA
"Westfield, N.J.",USA
"Goshen, N.Y.",USA
"Linden, N.J.",USA
"South Glenn Falls, N.Y.",USA
"Fairburn, GA",USA
"Woodbridge, VA",USA
"Bloomfield, NJ",USA
"Noblesville, IN",USA
"Bohemia, NY",USA
"McKinney, TX",USA
"Chicago, IL",USA
"South Fulton, GA",USA
"Missouri City, TX",USA
"Plainfield, IL",USA
"Los Angeles, CA",USA
"Hoover, AL",USA
"Fishers, IN",USA
"The Woodlands, TX",USA
"Oklahoma City, OK",USA
"Rockland, N.Y.",USA
"Laurel, MD",USA
"Bridgeville, PA",USA
"Hempstead, NY",USA
"Baton Rouge, LA",USA
"Sandy, UT",USA
"Grand Rapids, MI",USA
"Birmingham, AL",USA
"Baltimore, MD",USA
"Frisco, TX",USA
"New Orleans, LA",USA
"Baytown, TX",USA
"Fontana, CA",USA
"Fresno, CA",USA
"Fort Worth, TX",USA
"Hopkins, Minn.",USA
"Morristown, N.J.",USA
"Mt. Vernon, Ind.",USA
"Carolina, P.R.",USA
"Yonkers, N.Y.",USA
"Princeton Junction, N.J.",USA
"Bayamón, P.R.",USA
"San Juan, P.R.",USA
"McPherson, Kan.",USA
"Caguas, P.R.",USA
"Ponce, P.R.",USA
"Shakopee, Minn.",USA
"Pewaukee, WI",USA
"Bear, DE",USA
"Peachtree City, GA",USA
"Erie, CO",USA
"Marietta, GA",USA
"Flemington, NJ",USA
"Massapequa, NY",USA
"Ypsilanti, MI",USA
"Smithtown, NY",USA
"Aliso Viejo, CA",USA
"North Wales, PA",USA
"New York, NY",USA
"Carson City, Nevada",USA
"Brighton, MI.",USA
"Tomball, TX.",USA
"Middleton, ID.",USA
"San Antonio, TX.",USA
"Layton, UT.",USA
"Long Beach, CA.",USA
"Tempe, AZ.",USA
"Sugar Land, TX.",USA
"Missouri City, TX.",USA
"North Kingstown, RI",USA
"Fultonville, N.Y.",USA
"Hudson, N.H.",USA
"Lynnfield, MA",USA
"Andover, MA",USA
"Mount Vernon, Ind.",USA
"Ham Lake, Minn.",USA
"Blue Ash, Ohio",USA
"Lake Odessa, MIch.",USA
"Joliet, MT",USA
"Great Falls, MT",USA
"Diller, NE",USA
"Belleview, FL",USA
"Helena, MT",USA
"Parker, CO",USA
"Idaho Falls, ID",USA
"Ennis, MT",USA
"Bozeman, MT",USA
"Omaha, NE",USA
"Carson City, NV",USA
"Truckee, CA",USA
"Sylvania, OH",USA
"Woodbury, MN",USA
"Coeur d'Alene, ID",USA
"Denton, TX",USA
"Kuna, ID",USA
"Gillette, WY",USA
"San Leandro, CA",USA
"Elizabethtown, KY",USA
"Auberry, CA",USA
"Manhattan Beach, CA",USA
"Crestview Hills, KY",USA
"Bridgeport, WV",USA
"Stokesdale, N.C.",USA
"Pennington, N.J.",USA
"Carolina Beach, N.C.",USA
"Durham, N.C.",USA
"Pinehurst, N.C.",USA
"Maplewood, Minn.",USA
"Verona, Wis.",USA
"Olean, NY",USA
"Chardon, OH",USA
"Lexington, KY",USA
"Scarsdale, NY",USA
"Dublin, OH",USA
"Northbrook, IL",USA
"Goodyear, AZ",USA
"Syracuse, N.Y.",USA
"Canonsburg, PA",USA
"Mine Hill, N.J.",USA
"Northville, MI",USA
"Grove City, OH",USA
"New Baltimore, MI",USA
"Spring Branch, TX",USA
"Breinigsville, PA",USA
"Bolivar, OH",USA
"Canton, GA",USA
"Belleville, IL",USA
"Alexandria, VA",USA
"Newtown, PA",USA
"Madison, WI",USA
"Toms River, NJ",USA
"Colonia, NJ",USA
"Waupaca, WI",USA
"Wildomar, CA",USA
"Union, NJ",USA
"Fort Wayne, IN",USA
"Topsail Beach, N.C.",USA
"Santa Teresa, N.M.",USA
"Verona, N.Y.",USA
"West Hempstead, N.Y.",USA
"Arecibo, P.R.",USA
"Tirana, Albania",USA
"LaGrangeville, N.Y.",USA
"Montvale, N.J.",USA
"Little Neck, N.Y.",USA
"Morehead, KY.",USA
"Morgantown, W.V.",USA
"Grandy, N.C.",USA
"Moline, Ill.",USA
"Prairie du Sac, Wis.",USA
"Rosemount, Minn.",USA
"Tower, Minn.",USA
"Saline, Mich.",USA
"Rockleigh, N.J.",USA
"New Hope, MN",USA
"Mokena, IL",USA
"Weatherford, TX",USA
"Akron, OH",USA
"River Falls, WI",USA
"Hortonville, WI",USA
"Fairfax, VA",USA
"Hilton Head Island, SC",USA
"San Juan, PR",USA
"Purcellville, VA",USA
"Naperville, IL",USA
"Fort Lauderdale, FL",USA
"Grantville, PA",USA
"McDonough, Ga.",USA
"Penfield, N.Y.",USA
"Verona, N.J.",USA
"Stewartsville, NJ",USA
"Santa Fe, N.M.",USA
"Maple Lake, Minn.",USA
"Miami, FL",USA
"Kingsport, TN",USA
"West Chicago, IL",USA
"Fogelsville, PA",USA
"Rostraver Township, Pa.",USA
"Northern Cambria, Pa.",USA
"McClellandtown, Pa.",USA
"Stewartville, Minn.",USA
"Belle Harbor, N.Y.",USA
"Point Loma, CA",USA
"Pensacola, FL",USA
"Genoa, IL",USA
"Orlando, FL",USA
"Kaneohe, HI",USA
"Scarsdale, N.Y.",USA
"Oakdale, N.Y.",USA
"Ronkonkoma, N.Y.",USA
"Brookline, N.H.",USA
"Brooklyn, N.Y.",USA
"Summit, N.J.",USA
"Livonia, MI",USA
"Memphis, TN",USA
"Aledo, TX",USA
"Loomis, CA",USA
"Ramona, CA",USA
"Kailua, HI",USA
"La Cresenta, Calif.",USA
"Arecibom, Puerto Rico",USA
"Oakdale, Minn.",USA
"Hickory, N.C.",USA
"St. Michael, Minn.",USA
"Fontana, Calif.",USA
"Bondurant, IA",USA
"McAllen, TX",USA
"Metamora, IL",USA
"League City, TX",USA
"New Braunfels,TX",USA
"Inwood, W.Va.",USA
"Rogers, Minn.",USA
"Hillsborough, N.C.",USA
"Emerald Isle, N.C.",USA
"Piedmont, S.C.",USA
"Hixon, Tenn.",USA
"Ozark, MO.",USA
"Henderson, N.C.",USA
"Cold Spring, N.Y.",USA
"Hollis, N.H.",USA
"Las Vegas, N.M.",USA
"Katy, TX",USA
"Spring, TX",USA
"Brownsville, TX",USA
"DeSoto, TX",USA
"Harlingen, TX",USA
"Roswell, N.M.",USA
"Griffin, GA",USA
"Inman, SC",USA
"Ulysses, KS",USA
"Coronado, CA",USA
"New London, OH",USA
"Waxhaw, NC",USA
"Knoxville, TN",USA
"Cumming, GA",USA
"Lighthouse Point, FL",USA
"Norcross, GA",USA
"Blythewood, SC",USA
"Lakeland, TN",USA
"Upper Marlboro, MD",USA
"South Elgin, IL",USA
"Tabor City, NC",USA
"Benson, NC",USA
"St. Albans, MO",USA
"Lemont, Ill.",USA
"Gwinnett, Ga.",USA
"Rock Hill, SC",USA
"Anderson, SC",USA
"Chapel Hill, NC",USA
"Pittstown, NJ",USA
"Greer, S.C.",USA
"Aiken, S.C.",USA
"Washington, Okla.",USA
"Riverside, CA",USA
"Pacific Palisades, CA",USA
"Simi Valley, CA",USA
"Valencia, CA",USA
"Oak Hills, CA",USA
"West Hills, CA",USA
"Winchester, CA",USA
"Oceanside, CA",USA
"Rohnert Park, CA",USA
"Cleveland, OH",USA
"Oakdale, CA",USA
"Dayton, OH",USA
"Columbus, OH",USA
"Manassas, VA",USA
"Labelle, FL",USA
"Frederick, MD",USA
"Syracuse, UT",USA
"Hoyt, KS",USA
"Charleston, WV",USA
"Somerset, PA",USA
"Escondido, CA",USA
"Apple Valley, CA",USA
"Cincinatti, OH",USA
"Shaker Heights, OH",USA
"Sebring, FL",USA
"Highland, UT",USA
"West Palm Beach, FL",USA
"Plain City, OH",USA
"Burlington, KY",USA
"Fort Gay, W.Va.",USA
"New Martinsville, W.Va.",USA
"Shady Spring, W.Va.",USA
"Cool Ridge, W.Va.",USA
"Charmco, W.Va.",USA
"Lindside, W.Va.",USA
"Big Chimney, W.Va.",USA
"Bluefield, W.Va.",USA
"Orangeburg, S.C.",USA
"Lewisburg, W.Va.",USA
"Ocean, N.C.",USA
"Boiling Springs, S.C.",USA
"Atlanta, IL",USA
"Wildwood, MO",USA
"Bentonville, AR",USA
"Broken Arrow, OK",USA
"Rogersville, MO",USA
"Waynesville, MO",USA
"Kansas City, MO",USA
"Joplin, MO",USA
"Ozark, MO",USA
"Springfield, MO",USA
"Jefferson City, MO",USA
"Marion, IA",USA
"Wheeling, W.Va.",USA
"Madisonville, TX",USA
"Schertz, TX",USA
"Belton, TX",USA
"Fulshear, TX",USA
"Rosenberg, TX",USA
"Cypress, TX",USA
"Wichita Falls, TX",USA
"Burleson, TX",USA
"Troy, TX",USA
"Crawford, TX",USA
"Wylie, TX",USA
"Celina,TX",USA
"Arlington,TX",USA
"Haslet, TX",USA
"Lewisville, N.C.",USA
"Topeka, KS",USA
"Emporia, KS",USA
"Laredo, TX",USA
"Hays, KS",USA
"Atchison, KS",USA
"Lebo, KS",USA
"New Strawn, KS",USA
"Pflugerville, TX",USA
"Council Grove, KS",USA
"Stillwater, OK",USA
"Herington, KS",USA
"Harmony, NC",USA
"Charleston, SC",USA
"Glencoe, AL",USA
"Spotsylvania, VA",USA
"Summerville, SC",USA
"Davie County, NC",USA
"Belton, SC",USA
"Pendleton, SC",USA
"Pauline, SC",USA
"Indian Land, SC",USA
"Lugoff, SC",USA
"Carolina Forest, SC",USA
"Tomball, TX",USA
"Greenville, SC",USA
"Fort Mill, SC",USA
"Bridgeport, W.Va.",USA
"Rio Rancho, N.M.",USA
"Farmington, N.M.",USA
"Aztec, N.M.",USA
"Winterville, NC",USA
"Smithfield, UT",USA
"Campbellsville, KY",USA
"Pickens, SC",USA
"Quincy, FL",USA
"Myrtle Beach, SC",USA
"Albertville, MN",USA
"Plano, TX",USA
"Tega Cay, SC",USA
"Fayetteville, NC",USA
"Easley, SC",USA
"Sharpsburg, GA",USA
"Mount Holly, NC",USA
"Victoria, MN",USA
"Waxhaw, N.C.",USA
"North Huntington, Pa.",USA
"Bolivar, N.Y.",USA
"Bloomery, W.Va.",USA
"Cortlandt Manor, N.Y.",USA
"Monroe, NY",USA
"Missoula, Mont.",USA
"Butler, PA",USA
"Greensburg, PA",USA
"Pottstown, PA",USA
"Evansville, IN",USA
"Silver Spring, MD",USA
"Massillon, OH",USA
"Pittsburgh, PA",USA
"Forest Hills, PA",USA
"Webster,NY",USA
"Saint Marys, OH",USA
"Creighton, PA",USA
"Youngstown, OH",USA
"Clarence, NY",USA
"Green, OH",USA
"Skippack, PA",USA
"Seattle, WA",USA
"Glenville, W.Va.",USA
"Philippi, W.Va.",USA
"Saint Mary's, W.Va.",USA
"Walnut Cove, N.C.",USA
"Deep Gap, N.C.",USA
"Sophia, N.C.",USA
"York, S.C.",USA
"Little Rock, AR",USA
"Cabot, AR",USA
"Collierville, TN",USA
"Alexander, AR",USA
"Grand Prairie, TX",USA
"Farmington, AR",USA
"Greenwood, AR",USA
"Jonesboro, AR",USA
"Sewell, N.J.",USA
"Mullica Hill, N.J.",USA
"Queens, N.Y.",USA
"Moore, S.C.",USA
"Temecula, CA",USA
"Rancho Cucamonga, CA",USA
"Salinas, CA",USA
"Cerritos, CA",USA
"San Francisco, CA",USA
"Glendale, CA",USA
"Carlsbad, CA",USA
"Poway, CA",USA
"San Fernando, CA",USA
"San Mateo, CA",USA
"Mukilteo, WA",USA
"Alameda, CA",USA
"Weare, N.H.",USA
"Somersworth, N.H.",USA
"Rochester, N.H.",USA
"Strafford, N.H.",USA
"Westerly, R.I.",USA
"Raymond, N.H.",USA
"Alton, N.H.",USA
"Sherwood, OR",USA
"Olathe, KS",USA
"Lubbock, TX",USA
"Overland Park, KS",USA
"Murphy, TX",USA
"Castle Pines, CO",USA
"Cedar Springs, MI",USA
"Hudsonville, MI",USA
"Watertown, SD",USA
"Argyle, TX",USA
"Tucson, AZ",USA
"Mulhall, OK",USA
"Jamestown, N.C.",USA
"Woodleaf, N.C.",USA
"North Platte, NE",USA
"Stilwell, KS",USA
"Lexington, NE",USA
"Lindsborg, KS",USA
"Limon, CO",USA
"Minden, NE",USA
"David City, NE",USA
"Dannebrog, NE",USA
"Alliance, NE",USA
"Eureka, MO",USA
"Henderson, NE",USA
"Fairbury, NE",USA
"Kearney, NE",USA
"Fulton, NY",USA
"Horseheads, NY",USA
"Hopewell, PA",USA
"Canandaigua, NY",USA
"Irondequoit, NY",USA
"Buffalo, NY",USA
"Fort Plain, NY",USA
"Rome, NY",USA
"Grant, MI",USA
"Livonia, NY",USA
"Newark, NY",USA
"Victor, NY",USA
"Windsor, NY",USA
"Seneca Falls, NY",USA
"Morrisville, NY",USA
"Honeoye Falls, NY",USA
"Avon, NY",USA
"Milaca, Minn.",USA
"Prior Lake, Minn.",USA
"Lincolnton, N.C.",USA
"East Bend, N.C.",USA
"Bryson City, N.C.",USA
"Mount Holly, N.C.",USA
"Dobson, N.C.",USA
"Davie County, N.C.",USA
"Conway, S.C.",USA
"Advance, N.C.",USA
"Bloomington, Minn.",USA
"Sewickley, PA",USA
"Anchorage, AK",USA
"Gibsonia, PA",USA
"Hummelstown, PA",USA
"Bel Air, MD",USA
"North Huntingdon, PA",USA
"Derry, PA",USA
"New Castle, PA",USA
"West Mifflin, PA",USA
"Cranberry Township, PA",USA
"Graham, N.C.",USA
"Otsego, Minn.",USA
"Midland, TX",USA
"New Braunfels, TX",USA
"Beaumont, TX",USA
"Shiner, TX",USA
"Bryan, TX",USA
"Longview, TX",USA
"Marshall, TX",USA
"Dayton, TX",USA
"Lake Kiowa, TX",USA
"White Plains, MD",USA
"King of Prussia, PA",USA
"Wilmington, DE",USA
"Egg Harbor City, NJ",USA
"Abington, PA",USA
"Maple Shade, NJ",USA
"Sewell, NJ",USA
"Pottsville, PA",USA
"Ridley Park, PA",USA
"Bethlehem, PA",USA
